ASTRAZENECA,Médecin,TESSIER ROGER,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,TESSIER ROGER,15/04/2014,15/04/2014 -,Formation,,
JANSSEN-CILAG,Médecin,TESSIER ROGER,04/06/2013,04/06/2013 - 04/06/2013,CONGRES / SYMPOSIUM,,
LES LABORATOIRES SERVIER,Médecin,TESSIER ROGER,10/12/2013,10/12/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,TESSIER ROGER,03/06/2014,03/06/2014 - 03/06/2014,Autre : Réunion scientifique,,
SANOFI AVENTIS FRANCE,Médecin,TESSIER ROGER,11/03/2014,11/03/2014 - 11/03/2014,Autre : [Réunion],,
