ASTRAZENECA,Médecin,BERGER PHILIPPE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LUX BERNARD,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LUX BERNARD,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PINAS THIERRY,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PINAS THIERRY,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PINAS THIERRY,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PINAS THIERRY,12/12/2013,12/12/2013 -,Formation,,
CHIESI SA,Médecin,BERGER PHILIPPE,27/03/2014,27/03/2014 - 27/03/2014,Autre : HOSPITALITE RP,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE TARDIEUX - DUPUIS,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE TARDIEUX - DUPUIS,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,TARDIEUX NADEGE,23/04/2014,23/04/2014 - 23/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,TARDIEUX STEPHANE,23/04/2014,23/04/2014 - 23/10/2014,AUTRE : Recherche épidémiologique,,
LOL PHARMA,Pharmacien,TARDIEUX ET DUPUIS TARDIEUX ET DUPUIS,21/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,TARDIEUX ET DUPUIS TARDIEUX ET DUPUIS,21/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,TARDIEUX ET DUPUIS TARDIEUX ET DUPUIS,17/07/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,TARDIEUX ET DUPUIS TARDIEUX ET DUPUIS,21/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,LUX BERNARD,05/06/2014,05/06/2014 - 05/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,LUX BERNARD,15/05/2014,15/05/2014 - 15/05/2014,Autre : Réunion scientifique,,
MSD France,Médecin,BERGER PHILIPPE,27/06/2013,27/06/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BERGER PHILIPPE,26/06/2014,26/06/2014 -,CONVENTION D HOSPITALITE,,
