All Global,Médecin,Cornec Brendan,05/12/2013,05/12/2013 -,[Marketing],,
ASTELLAS PHARMA,Médecin,CORNEC BRENDAN,25/07/2013,25/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,WARNECK PATRICK,14/11/2013,14/11/2013 -,Formation,,
Axess Research,Médecin,BRISORGUEIL PIERRE,26/03/2014,26/03/2014 - 26/03/2014,Autre : ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,BRISORGUEIL PIERRE,02/07/2013,02/07/2013 - 02/07/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CORNEC BRENDAN,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CORNEC BRENDAN,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,WARNECK PATRICK,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,WARNECK PATRICK,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
EFFIK,Médecin,BOHAN ANNICK,18/03/2014,18/03/2014 - 18/03/2014,HOSPITALITE,,
FERRING SAS,Médecin,BOHAN ANNICK,21/01/2014,21/01/2014 - 21/01/2014,Autre : Manifestation Scientifique,,
JANSSEN-CILAG,Médecin,BRISORGUEIL PIERRE,15/10/2013,15/10/2013 - 15/10/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WARNECK PATRICK,09/10/2013,09/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,CORNEC BRENDAN,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,CORNEC BRENDAN,12/04/2014,12/04/2014 - 13/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,WARNECK PATRICK,03/04/2014,03/04/2014 - 03/04/2014,Autre : Réunion scientifique,,
MSD France,Médecin,FRIN MAGUY,20/02/2014,20/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,WARNECK PATRICK,28/06/2012,28/06/2012 -,CONVENTION D HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,WARNECK PATRICK,05/12/2013,05/12/2013 - 05/12/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE KERVEC GESTIN / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
