A+A,Médecin,BERTAUX PIERRE JEAN,18/07/2013,17/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,COURAGE DOMINIQUE,08/10/2012,08/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,COURAGE DOMINIQUE,12/03/2012,09/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,COURAGE DOMINIQUE,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,COURAGE DOMINIQUE,14/09/2012,14/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,COURAGE DOMINIQUE,26/04/2012,25/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MABILLE ALAIN,29/10/2012,29/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MABILLE ALAIN,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MABILLE ALAIN,07/03/2012,06/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,PICCIN FRANCOIS,07/03/2012,06/03/2012 -,ETUDE DE MARCHE,,
ABBOTT FRANCE,Médecin,KHALIFE KHALIFE,04/11/2013,20/11/2013 -,Congrs, Symposium,,
ALK-Abelló,Médecin,SIMON PHILIPPE,21/06/2014,21/06/2014 - 21/06/2014,Autre : RÃ©union scientifique,,
ALK-Abelló,Médecin,SIMON PHILIPPE,18/01/2014,18/01/2014 - 18/01/2014,Autre : RÃ©union scientifique,,
All Global,Médecin,Plaza Jerome,06/11/2013,06/11/2013 -,[Marketing],,
All Global,Médecin,Plaza Jerome,17/02/2014,17/02/2014 -,[Marketing],,
All Global,Médecin,Plaza Jerome,25/11/2013,25/11/2013 -,[Marketing],,
All Global,Médecin,Plaza Jerome,14/04/2014,14/04/2014 -,[Marketing],,
All Global,Médecin,Plaza Jerome,17/04/2014,17/04/2014 -,[Marketing],,
All Global,Médecin,Plaza Jerome,06/11/2013,06/11/2013 -,[Marketing],,
ASTRAZENECA,Etudiant,CHARGOIS JUSTINE,08/10/2013,08/10/2013 -,Formation,,
