A+A,Médecin,HEILIGENSTEIN ALPHONSE,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HEILIGENSTEIN ALPHONSE,06/01/2014,27/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,HEILIGENSTEIN ALPHONSE,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,HEILIGENSTEIN ALPHONSE,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,HEILIGENSTEIN ALPHONSE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HEILIGENSTEIN ALPHONSE,08/04/2014,08/04/2014 -,Formation,,
Becton Dickinson France SAS,Infirmier,MOUNIER ISABELLE,10/04/2014,10/04/2014 -,FORMATION,,
JANSSEN-CILAG,Médecin,HEILIGENSTEIN ALPHONSE,25/06/2013,25/06/2013 - 25/06/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HEILIGENSTEIN ALPHONSE,05/07/2013,05/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HEILIGENSTEIN ALPHONSE,26/06/2014,26/06/2014 - 26/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HEILIGENSTEIN ALPHONSE,14/03/2014,14/03/2014 - 14/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HEILIGENSTEIN ALPHONSE,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,HEILIGENSTEIN ALPHONSE,04/04/2014,04/04/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,HEILIGENSTEIN ALPHONSE,11/03/2014,11/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,HEILIGENSTEIN ALPHONSE,12/11/2013,12/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,HEILIGENSTEIN ALPHONSE,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,HEILIGENSTEIN ALPHONSE,03/10/2013,03/10/2013 - 03/10/2013,INVITATION,,
LOL PHARMA,Pharmacien,BOTH MULLER ODILE BOTH MULLER ODILE,02/12/2013,18/12/2013 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BOTH ODILE BOTH ODILE,16/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BOTH ODILE BOTH ODILE,16/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
