A+A,Pharmacien,KHUN MANIVUTH,31/07/2012,31/07/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,KHUN MANIVUTH,03/05/2013,30/04/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,TCHAMBA SANJON WILLIAM,16/05/2013,15/05/2013 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Pharmacien,KHAUV KHUN NATHALIE,26/03/2013,26/03/2013 - 26/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,HARCHOUCHE ABDELHAMID,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BARRES ELODIE,03/04/2014,03/04/2014 -,[FORMATION],,
CELGENE,Autres types de personne morale,DREYFUS MEDICAL CONSULTING,10/04/2014,10/04/2013 - 09/04/2014,FORMATION,,
CELGENE,Autres types de personne morale,DREYFUS MEDICAL CONSULTING,27/09/2013,13/09/2013 - 28/09/2013,CONSEIL,,
GE HEALTHCARE SAS,Médecin,UZAN PIERRE,27/03/2014,27/03/2014 -,Hospitalité Congrès Symposium,,
JANSSEN-CILAG,Médecin,CELIS GONZALEZ CLAUDIA,02/04/2014,02/04/2014 - 02/04/2014,CONGRES / SYMPOSIUM,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE TCHAMBA SANJON,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRES CONVATEC,Infirmier,CATILLON JULIE,03/04/2014,03/04/2014 - 03/04/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,LIBERA ADRIANA,03/04/2014,03/04/2014 - 03/04/2014,AUTRE,,
LASER,Médecin,GUETRELLE ERIC,17/04/2012,17/04/2012 - 31/12/2013,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,CELIS CLAUDIA,15/05/2014,15/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,CELIS CLAUDIA,28/11/2013,28/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CELIS CLAUDIA,23/11/2013,23/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CELIS CLAUDIA,25/03/2014,25/03/2014 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,ATTALI ET SIMON ATTALI ET SIMON,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ATTALI ET SIMON ATTALI ET SIMON,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
