AbbVie,Médecin,MONIEZ ALAIN,22/11/2013,10/12/2013 -,AUTRE: [CONTRAT DE COLLABORATION SCENTIFIQUE],,
ASTRAZENECA,Médecin,RUYTOOR DAVID,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,RUYTOOR DAVID,28/03/2014,28/03/2014 -,Formation,,
B3TSI,Médecin,GAUTIER NORBERT,24/06/2014,24/06/2014 -,autre : enquête téléphonique,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RUYTOOR DAVID,21/11/2013,21/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,TORCHY LAURENCE,17/02/2014,17/02/2014 -,[FORMATION],,
BOIRON,Pharmacien,TORCHY LAURENCE,17/02/2014,17/02/2014 -,[FORMATION],,
CHIESI SA,Médecin,RUYTOOR DAVID,18/04/2014,18/04/2014 - 18/04/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,RUYTOOR DAVID,19/09/2013,19/09/2013 - 20/09/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RUYTOOR DAVID,04/10/2013,04/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RUYTOOR DAVID,04/04/2014,04/04/2014 - 04/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RUYTOOR DAVID,11/09/2013,11/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,RUYTOOR DAVID,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,RUYTOOR DAVID,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,RUYTOOR DAVID,07/11/2013,07/11/2013 -,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,RUYTOOR DAVID,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,RUYTOOR DAVID,25/03/2014,25/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,RUYTOOR DAVID,28/11/2013,28/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,RUYTOOR DAVID,16/01/2014,16/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LOL PHARMA,Pharmacien,DE RUYTER LAURENT DE RUYTER LAURENT,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
